nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform,kondisi
NOKIA 130 2024 FRODO MUSIC GARANSI RESMI,405.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
NOKIA 105 LEDA 2023 / 2024 ORIGINAL GARANSI RESMI,259.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 110 candybar garansi resmi nokia,360.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110 2019,360.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 150 MUSIC NEW GARANSI RESMI,475.000,,,Kota Medan,Hp,Nokia,Blibli,Baru
NOKIA 105 FOX 2024 - GARANSI RESMI,479.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 150 2024 FRODO VALUE - GARANSI RESMI,620.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 105 LEDA - GARANSI RESMI 1 TAHUN RUSAK GANTI BARU,500.000,,Terjual 2,,Hp,Nokia,Blibli,Baru
Nokia 110 Fox 2024 Garansi Resmi,374.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 105 LEDA 2023 Garansi Resmi,285.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia C21 Plus Ram 3GB Rom 32GB,999.000,,,,Hp,Nokia,Blibli,Baru
Nokia C31 Ram 4GB Rom 64GB,1.039.000,5,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 110 (2024) Garansi Resmi,399.000,,Terjual 1,Kota Semarang,Hp,Nokia,Blibli,Baru
Nokia 105 2022 Simba Garansi Resmi,259.000,,Terjual 2,Kota Bandung,Hp,Nokia,Blibli,Baru
Nokia 105 (2023) HMD Garansi Resmi Indonesia,269.000,,Terjual 1,Kota Semarang,Hp,Nokia,Blibli,Baru
Nokia 150 Frodo Music HMD Garansi Resmi Indonesia,499.000,5,Terjual 1,Kota Semarang,Hp,Nokia,Blibli,Baru
Nokia 130 Frodo Music HMD Garansi Resmi Indonesia,419.000,,Terjual 1,Kota Semarang,Hp,Nokia,Blibli,Baru
NOKIA 105 2023 GARANSI RESMI,244.000,5,Terjual 26,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 110 - Hp Tombol New,350.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110,375.000,,Terjual 7,Kota Medan,Hp,Nokia,Blibli,Baru
NOKIA 105 FOX 2024 GARANSI RESMI NOKIA 1 TAHUN,252.000,5,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
nokia 105 garansi resmi,255.000,,,Kota Batam,Hp,Nokia,Blibli,Baru
Nokia 105 DS TA- 1174,259.200,5,Terjual 58,,Hp,Nokia,Blibli,Baru
Nokia 110 2024 [Garansi Resmi],399.000,,,Kota Denpasar,Hp,Nokia,Blibli,Baru
[jikalaku] Nokia 110 2024 Garansi Resmi,327.000,,Terjual 1,Kota Jakarta Pusat & kota lainnya,Hp,Nokia,Blibli,Baru
Nokia Frodo Basic 130 Garansi Resmi,449.000,,,Kota Pekanbaru,Hp,Nokia,Blibli,Baru
[jikalaku] Nokia 130 Music HMD Garansi Resmi,396.900,,Terjual 5,Kota Jakarta Pusat & kota lainnya,Hp,Nokia,Blibli,Baru
Nokia 130 Frodo Music - Garansi resmi,398.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
NOKIA 150 FRODO MUSIK SERIES GARANSI RESMI,466.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
NOKIA 110 Fox 2024 - Garansi Resmi,328.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
NOKIA 105 LEDA 2023 - Garansi Resmi Indonesia,241.088,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
NOKIA 130 Frodo Music HMD - Garansi Resmi,398.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 105 2023 Dual Sim Garansi Resmi - Cyan,275.000,,,Kota Denpasar,Hp,Nokia,Blibli,Baru
Nokia 105 2023 Dual Sim Garansi Resmi - Cyan,275.000,,,Kota Denpasar,Hp,Nokia,Blibli,Baru
Nokia 105 2023 Dual Sim Garansi Resmi - Cyan,275.000,,,Kota Denpasar,Hp,Nokia,Blibli,Baru
nokia 105,250.000,,Terjual 5,,Hp,Nokia,Blibli,Baru
"Nokia 150 2024, Garansi Resmi",524.000,5,Terjual 17,,Hp,Nokia,Blibli,Baru
Pre-order,259.000,,Terjual 18,,Hp,Nokia,Blibli,Baru
"NOKIA 105 Fox 2024 GARANSI RESMI LCD 2"" QQVGA, Baterai Besar 1000mAh",254.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 110 SHAKA,299.000,,Terjual 3,,Hp,Nokia,Blibli,Baru
Pre-order,515.000,,,,Hp,Nokia,Blibli,Baru
"Nokia 105 Leda 2023 Edition - Dual SIM, Baterai 1000mAh - Garansi resmi",241.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 150 TA - 1235 DS,556.800,5,Terjual 18,,Hp,Nokia,Blibli,Baru
"Nokia 105 Leda 2023 Edition - Dual SIM, Baterai 1000mAh - Garansi resmi PARASTAR",241.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
"Nokia 105 Fox 2024 - MP3 Player, MicroSD, Dual SIM, Baterai 1020mAh - Garansi resmi",251.000,5,Terjual 3,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
nokia 105 fox 2024 mp3 garansi resmi,259.000,,Terjual 3,,Hp,Nokia,Blibli,Baru
Nokia 105 candybar,290.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 New,299.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
NOKIA 105 2023 LEIDA NEW GARANSI RESMI,249.000,"4,6",Terjual 12,Kota Medan,Hp,Nokia,Blibli,Baru
nokia 105 simba garansi resmi,290.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 6670,351.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 2019 Handphone,240.000,5,Terjual 161,,Hp,Nokia,Blibli,Baru
Nokia 105 (2024) Garansi Resmi,279.000,5,Terjual 2,Kota Semarang,Hp,Nokia,Blibli,Baru
Nokia 130 Handphone,350.000,"4,8",Terjual 19,,Hp,Nokia,Blibli,Baru
HP NOKIA 105,260.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110,350.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 2019 Handphone,350.000,5,Terjual 3,,Hp,Nokia,Blibli,Baru
Nokia 105 2019 Handphone,270.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 105 2019 Handphone,249.000,,Terjual 2,,Hp,Nokia,Blibli,Baru
Nokia 105 Handphone - Biru,279.000,5,Terjual 8,,Hp,Nokia,Blibli,Baru
Nokia 5310 2020 Handphone,725.000,5,Terjual 10,,Hp,Nokia,Blibli,Baru
Nokia 105 Handphone - Black,279.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 Handphone - Biru,258.000,5,Terjual 15,,Hp,Nokia,Blibli,Baru
Nokia 105 2019 Handphone,280.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 150 Handphone - Black  -,470.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 Handphone - Black,250.000,5,Terjual 6,,Hp,Nokia,Blibli,Baru
Nokia 105 Handphone - Biru,300.000,,,,Hp,Nokia,Blibli,Baru
HP NOKIA 110,360.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 King 2019 Handphone,240.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 150 Handphone - White,499.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 105 DS 2017 Handphone White,249.000,4,Terjual 8,,Hp,Nokia,Blibli,Baru
Nokia 210 DS Handphone - Grey,450.000,,,,Hp,Nokia,Blibli,Baru
Nokia 150 Handphone - Black  -,520.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 2017 Handphone - Neo Black Black,300.000,,Terjual 8,,Hp,Nokia,Blibli,Baru
Nokia 105 King 2019 tAm,250.000,5,Terjual 15,,Hp,Nokia,Blibli,Baru
NOKIA 105 2023 GARANSI RESMI,315.000,,,,Hp,Nokia,Blibli,Baru
"Nokia 105 (2019) (Pink, )",250.000,,,,Hp,Nokia,Blibli,Baru
Nokia 150 new,599.000,,Terjual 2,Kota Medan,Hp,Nokia,Blibli,Baru
hp nokia 105 original,335.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 110 2024 GARANSI RESMI,334.000,5,Terjual 2,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 105 (2024) New Garansi Resmi,289.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Nokia 105 (2023) - Garansi Resmi,299.000,,Terjual 3,Kota Jakarta Timur,Hp,Nokia,Blibli,Baru
[jikalaku] Nokia 150 Frodo Music Garansi Resmi,465.700,5,Terjual 3,Kota Jakarta Pusat & kota lainnya,Hp,Nokia,Blibli,Baru
NOKIA 130 FRODO Garansi resmi 100% original,397.000,,,Kota Jakarta Pusat,Hp,Nokia,Blibli,Baru
Tablet nokia T21 ram 4GB internal 64GB garansi resmi,3.299.000,,Terjual 1,Kota Pekanbaru,Hp,Nokia,Blibli,Baru
Hp Nokia 150 New 2020,490.000,,Terjual 4,,Hp,Nokia,Blibli,Baru
Nokia 105 King 2019 Garansi TAM,229.000,"4,8",Terjual 187,,Hp,Nokia,Blibli,Baru
Nokia 105 (2023),299.000,5,Terjual 77,,Hp,Nokia,Blibli,Baru
Nokia 110 (2022),500.000,5,Terjual 40,,Hp,Nokia,Blibli,Baru
NOKIA 105 Black / NOKIA 105 Hitam,350.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 105 Black / NOKIA 105 Hitam,350.000,,Terjual 60,,Hp,Nokia,Blibli,Baru
Nokia 110 2019,320.000,4,Terjual 20,,Hp,Nokia,Blibli,Baru
NOKIA 105,320.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 150,480.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 110 FOX 2024 GARANSI RESMI NOKIA,399.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110,350.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 2023,290.000,5,Terjual 7,,Hp,Nokia,Blibli,Baru
Nokia 110,399.000,,,,Hp,Nokia,Blibli,Baru
nokia 150,500.000,,Terjual 13,,Hp,Nokia,Blibli,Baru
Nokia 210,500.000,,Terjual 2,,Hp,Nokia,Blibli,Baru
Nokia 110,385.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110 2019,350.000,,,,Hp,Nokia,Blibli,Baru
Nokia 130 Music,428.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 110 DUAL SIM GARANSI RESMI 1 TAHUN NOKIA,350.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 Candybar,790.000,5,Terjual 3,,Hp,Nokia,Blibli,Baru
Nokia 150 (2020),500.000,,,,Hp,Nokia,Blibli,Baru
Pre-order,325.000,,Terjual 7,,Hp,Nokia,Blibli,Baru
Nokia 110 2019,340.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 GARANSI RESMI,280.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110 GARANSI RESMI,375.000,,,,Hp,Nokia,Blibli,Baru
Nokia 130 Frodo Music,499.000,,,,Hp,Nokia,Blibli,Baru
Nokia 150 Frodo Music,599.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110 (2019) Garansi TAM,335.000,5,Terjual 7,,Hp,Nokia,Blibli,Baru
nokia 105 garansi tam,263.000,,Terjual 5,,Hp,Nokia,Blibli,Baru
NOKIA 150 GARANSI RESMI,499.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 5310 NEW 2020,625.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 5310 NEW 2020,650.000,,,,Hp,Nokia,Blibli,Baru
NOKIA SIMBA 105 TAM 2022,255.999,,Terjual 97,,Hp,Nokia,Blibli,Baru
Nokia 105 New [2019] Resmi,290.000,,Terjual 2,,Hp,Nokia,Blibli,Baru
NOKIA 130 NEW GARANSI RESMI,415.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 (2024) GARANSI RESMI,275.000,,Terjual 2,,Hp,Nokia,Blibli,Baru
NOKIA 110 (2024) GARANSI RESMI,340.000,5,Terjual 2,,Hp,Nokia,Blibli,Baru
Nokia 110 (2024) Garansi Resmi,399.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110 (2024) Garansi Resmi,399.000,,,,Hp,Nokia,Blibli,Baru
NOKIA FRODO 150 MUSIC (2024),750.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 2017 Hanphone - White,258.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
NOKIA 105 VOX NEW GARANSI RESMI,269.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 Garansi resmi 1 tahun,275.000,"3,6",Terjual 11,,Hp,Nokia,Blibli,Baru
Nokia 105 King 2019 Garansi TAM,260.000,,Terjual 4,,Hp,Nokia,Blibli,Baru
NEW NOKIA 150 MUSI GARANSI RESMI,499.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 150 FRODO MUSIC GARANSI RESMI,485.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 110 2024 VOX NEW GARANSI RESMI,339.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 (2023) HMD Garansi Resmi Indonesia,269.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 130 2024 FRODO MUSIC GARANSI RESMI,425.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 (2023) HMD Garansi Resmi Indonesia,269.000,,,,Hp,Nokia,Blibli,Baru
Nokia 150 Music 2025 BNIB Garansi Resmi Indonesia,612.338,,,,Hp,Nokia,Blibli,Baru
Nokia 150 Frodo Music HMD Garansi Resmi Indonesia,499.000,,,,Hp,Nokia,Blibli,Baru
Nokia 130 Frodo Music HMD Garansi Resmi Indonesia,419.000,,,,Hp,Nokia,Blibli,Baru
Nokia 150 Frodo Music HMD Garansi Resmi Indonesia,499.000,5,Terjual 1,,Hp,Nokia,Blibli,Baru
Nokia 130 Frodo Music HMD Garansi Resmi Indonesia,419.000,,,,Hp,Nokia,Blibli,Baru
Nokia 110 Fox 2024 New Garansi Resmi Promo Bandung,384.000,,,,Hp,Nokia,Blibli,Baru
Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun,312.500,5,Terjual 18,,Hp,Nokia,Blibli,Baru
Handphone | HP Nokia 105 2023 2022 New - Original Garansi TAM 1 Tahun,263.000,5,Terjual 4,Kota Surabaya & kota lainnya,Hp,Nokia,Blibli,Baru
nokia 105,350.000,,Terjual 3,,Hp,Nokia,Blibli,Baru
Nokia 105 Smartphone - Black,350.000,,,,Hp,Nokia,Blibli,Baru
Pre-order,245.000,,,,Hp,Nokia,Blibli,Baru
Another Smartphone & Candibar,1.500.000,,Terjual 2,,Hp,Nokia,Blibli,Baru
