nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Nokia 130 Music,428.000,,,,Hp,Nokia,Bliblii
NOKIA 110 DUAL SIM GARANSI RESMI 1 TAHUN NOKIA,350.000,,,,Hp,Nokia,Bliblii
Nokia 105 Candybar,790.000,5,Terjual 3,,Hp,Nokia,Bliblii
Nokia 150 (2020),500.000,,,,Hp,Nokia,Bliblii
Pre-order,325.000,,Terjual 7,,Hp,Nokia,Bliblii
Nokia 110 2019,340.000,,,,Hp,Nokia,Bliblii
Nokia 105 GARANSI RESMI,280.000,,,,Hp,Nokia,Bliblii
Nokia 110 GARANSI RESMI,375.000,,,,Hp,Nokia,Bliblii
Nokia 130 Frodo Music,499.000,,,,Hp,Nokia,Bliblii
Nokia 150 Frodo Music,599.000,,,,Hp,Nokia,Bliblii
Nokia 110 (2019) Garansi TAM,335.000,5,Terjual 7,,Hp,Nokia,Bliblii
nokia 105 garansi tam,263.000,,Terjual 5,,Hp,Nokia,Bliblii
NOKIA 150 GARANSI RESMI,499.000,,,,Hp,Nokia,Bliblii
NOKIA 5310 NEW 2020,625.000,,,,Hp,Nokia,Bliblii
NOKIA 5310 NEW 2020,650.000,,,,Hp,Nokia,Bliblii
NOKIA SIMBA 105 TAM 2022,255.999,,Terjual 97,,Hp,Nokia,Bliblii
Nokia 105 New [2019] Resmi,290.000,,Terjual 2,,Hp,Nokia,Bliblii
NOKIA 130 NEW GARANSI RESMI,415.000,,,,Hp,Nokia,Bliblii
Nokia 105 (2024) GARANSI RESMI,275.000,,Terjual 2,,Hp,Nokia,Bliblii
NOKIA 110 (2024) GARANSI RESMI,340.000,5,Terjual 2,,Hp,Nokia,Bliblii
Nokia 110 (2024) Garansi Resmi,399.000,,,,Hp,Nokia,Bliblii
Nokia 110 (2024) Garansi Resmi,399.000,,,,Hp,Nokia,Bliblii
NOKIA FRODO 150 MUSIC (2024),750.000,,,,Hp,Nokia,Bliblii
Nokia 105 2017 Hanphone - White,258.000,,Terjual 1,,Hp,Nokia,Bliblii
NOKIA 105 VOX NEW GARANSI RESMI,269.000,,,,Hp,Nokia,Bliblii
Nokia 105 Garansi resmi 1 tahun,275.000,"3,6",Terjual 11,,Hp,Nokia,Bliblii
Nokia 105 King 2019 Garansi TAM,260.000,,Terjual 4,,Hp,Nokia,Bliblii
NEW NOKIA 150 MUSI GARANSI RESMI,499.000,,,,Hp,Nokia,Bliblii
NOKIA 150 FRODO MUSIC GARANSI RESMI,485.000,,,,Hp,Nokia,Bliblii
NOKIA 110 2024 VOX NEW GARANSI RESMI,339.000,,,,Hp,Nokia,Bliblii
Nokia 105 (2023) HMD Garansi Resmi Indonesia,269.000,,,,Hp,Nokia,Bliblii
NOKIA 130 2024 FRODO MUSIC GARANSI RESMI,425.000,,,,Hp,Nokia,Bliblii
Nokia 105 (2023) HMD Garansi Resmi Indonesia,269.000,,,,Hp,Nokia,Bliblii
Nokia 150 Music 2025 BNIB Garansi Resmi Indonesia,612.338,,,,Hp,Nokia,Bliblii
Nokia 150 Frodo Music HMD Garansi Resmi Indonesia,499.000,,,,Hp,Nokia,Bliblii
Nokia 130 Frodo Music HMD Garansi Resmi Indonesia,419.000,,,,Hp,Nokia,Bliblii
