nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
SAMSUNG A07 4/64 GB GARANSI RESMI + ADAPTOR CAS,1.780.000,,Terjual 7,,Hp,Samsung,Bliblii
SAMSUNG GALAXY A56 5G RAM 8GB/256GB | 12GB/256GB GARANSI RESMI,6.669.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY S23 FE 8/128GB SM-S711,8.925.000,,,,Hp,Samsung,Bliblii
Hp Samsung A07 Ram 8GB Internal 256GB Garansi Resmi,3.099.000,5,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S24 Ram 8GB Internal 512GB Garansi Resmi,11.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25+ Ram 12GB Internal 512GB Garansi Resmi,19.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A04 Ram 3GB Internal 32GB Garansi Resmi,1.499.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Zold 5 Ram 12GB Internal 512GB Garansi Resmi,26.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Zold 5 Ram 12GB Internal 1TB Garansi Resmi,29.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung M12 RAM 4GB Internal 64GB Garansi Resmi,1.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S9+ Ram 6GB Internal 128GB Garansi Resmi,5.000.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Galaxy S26 5G 12/256 GB I 12/512 GB Garansi Resmi SEIN,16.137.000,,,Kota Jakarta Pusat,Hp,Samsung,Bliblii
Samsung Galaxy A04s Smartphone [4/64GB],2.100.000,5,Terjual 10,Kota Medan,Hp,Samsung,Bliblii
Samsung Galaxy A05s Smartphone [6GB/128GB],2.299.000,5,Terjual 8,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A15 5G Smartphone [8GB/256GB],3.599.000,,,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A14 4G Smartphone [6GB/128GB],2.499.000,,Terjual 1,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy S23 FE 5G Smartphone [8GB/128GB],9.900.000,5,Terjual 20,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy S24 Ultra 5G Smartphone [12GB/512GB],21.999.000,,,Kota Batam,Hp,Samsung,Bliblii
HP Samsung Galaxy A14 5G ram 6/128 GB Android 13 Octa Core,2.878.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A14 5G Smartphone [6GB/128GB],2.999.000,5,Terjual 2,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A25 5G Smartphone [8GB/256GB],4.399.000,,,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A54 5G Smartphone [8GB/128GB],5.999.000,,,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A54 5G Smartphone [8GB/256GB],6.399.000,,,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A25 5G Smartphone [8GB/128GB],3.750.000,5,Terjual 6,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A23 5G Smartphone [6GB/128GB],3.799.000,5,Terjual 5,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy S25 12/512GB - Smartphone AI | Galaxy AI | Android,16.999.000,,Terjual 6,Kota Medan,Hp,Samsung,Bliblii
Samsung Galaxy S25 Ultra 12/1TB - Smartphone AI | Galaxy AI | Android,28.999.000,5,Terjual 2,Kota Medan,Hp,Samsung,Bliblii
SAMSUNG A35 8/128GB & 8/256GB Smartphone GARANSI RESMI INDONESIA,4.189.000,,Terjual 5,Kota Jakarta Timur,Hp,Samsung,Bliblii
