web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777546515-26","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","VIVO Z1 PRO 4/64 SECOND FULLSET","Rp1.200.000","5","Terjual 19","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/supersupercell/vivo-z1-pro-4-64-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","supersupercell"
"1777546518-27","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Realme 10 8/128GB fullset mulus second - batang mulus 8/256","Rp1.800.000","4.7","Terjual 13","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/didoalfarezi/realme-10-8-128gb-fullset-mulus-second-1735139580592817259?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","pho pho cell"
"1777546520-28","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","OPPO A37 32GB","Rp700.000","5","Terjual 70+","Kab. Bandung","https://www.tokopedia.com/arseniobramandika/oppo-a37-32gb?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","ARSENIOBRAMANDIKA"
"1777546523-29","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","vivo v27e 8/256gb second fullset","Rp2.220.000","5","Terjual 20","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/queencellshop/vivo-v27e-8-256gb-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Queen Cellshop"
"1777546525-30","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","hp Redmi 8a Pro 3/32GB fullset mulus net","Rp1.000.000","5","Terjual 7","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/didoalfarezi/hp-redmi-8a-pro-3-32gb-fullset-mulus-net?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","pho pho cell"
"1777546528-31","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","REALME NARZO 30A 4GB/64GB GARANSI RESMI (PRODUK ORIGINAL)","Rp1.349.000","5","Terjual 40+","Kota Tangerang","https://www.tokopedia.com/elzain-cellular/realme-narzo-30a-4gb-64gb-garansi-resmi-produk-original?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","EL'ZAIN CELLULAR"
"1777546530-32","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Redmi 5 plus | Redmi 5+ 3/32gb | Redmi | Xiaomi Xiaomi mi","Rp650.000","4.9","Terjual 70+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/yude-cell-official/redmi-5-plus-redmi-5-3-32gb-redmi-xiaomi-xiaomi-mi?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Best Yude Store"
"1777546532-33","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Redmi Note 5 Pro 6/64GB 4G+ | Redmi note 5 pro 6/128GB | NOTE 5 4/64GB Handphone second bergaransi - 3/32GB","Rp900.000","4.8","Terjual 30+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/yude-cell-official/redmi-note-5-pro-6-64gb-4g-redmi-note-5-pro-6-128gb-note-5-4-64gb-handphone-second-bergaransi-3-32gb-11f0d?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Best Yude Store"
"1777546534-34","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","OPPO A57 RAM 4/64 & 4/128 SECOND FULLSET & BATANGAN - BATANG 4/64 LCD GANTIAN","Rp750.000","5","Terjual 100+","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/pusat-cell/oppo-a57-ram-4-64-4-128-second-fullset-batangan-1734207536617653425?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","pusat cell"
"1777546537-35","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","handphone scon redmi not 13","Rp1.450.000","5","Terjual 25","Kab. Sukabumi","https://www.tokopedia.com/amrstoree/handphone-scon-redmi-not-13?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","amrstroee"
