web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778027788-72","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V40 5G Ram 12GB Rom 256GB","4.940.000","","Terjual 1","","Kota Surabaya"
"1778027788-73","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V40 5G Ram 12GB Rom 512GB","6.289.000","","","","Kota Surabaya"
"1778027788-74","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V30 Pro 5G Ram 12GB Rom 512GB","6.489.000","","","","Kota Surabaya"
"1778027788-75","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V50 Lite Ram 8GB Rom 256GB","3.365.000","","","","Kota Surabaya"
"1778027788-76","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V25e RAM 8/256GB Garansi Resmi","3.825.000","","","","Kota Surabaya"
"1778027788-77","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V21 4G Smartphone [8GB/128GB]","4.399.000","5","Terjual 5","","Kab. Gresik"
"1778027788-78","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Hp Vivo Y21","2.399.000","","Terjual 16","","Kab. Bandung"
"1778027788-79","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y03 Smartphone Android Original Garansi Resmi","1.299.000","","","","Kab. Bangkalan"
"1778027788-80","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y22","2.399.000","","","","Kab. Sidoarjo"
"1778027788-81","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y15S 3/32","2.000.000","","","","Kab. Sidoarjo"
"1778027788-82","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y12S 3/32","2.800.000","4","Terjual 3","","Kab. Sidoarjo"
"1778027788-83","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y21 4/64GB","2.399.000","","Terjual 18","","Kab. Sidoarjo"
"1778027788-84","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y1S RAM 2/32","1.499.000","","Terjual 1","","Kab. Sidoarjo"
"1778027788-85","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","NEW VIVO V21 5GB RAM 8/128","5.799.000","","Terjual 3","","Kab. Sidoarjo"
"1778027788-86","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO SMARTPHONE VIVO Y16 3/32 - VIVO SMARTPHONE VIVO Y16 3/32","1.764.000","5","Terjual 6","Kota Medan","SINERGY SELLULAR Flagship Store"
